0:0	despite that , we do n't have the slightest chance of terrorism taking place .	N/A	despite that , there is not the slightest chance for terrorism .	N/A	1	1	0-0 1-1 2-2 7-6 8-7 9-8 10-9 11-10 14-11 3-3 3-4 3-5 4-3 4-4 4-5 5-3 5-4 5-5 6-3 6-4 6-5		 
14:14	turkey has coexisted skillfully with the american invasion of iraq . but coexistence with what comes after the invasion seems more dangerous .	N/A	turkey coexisted skillfully with the us invasion of iraq . but coexistence after the invasion seems more risky .	N/A	1	1	0-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 16-12 17-13 18-14 19-15 20-16 21-17 22-18		 
15:15	next , please listen to the report given by voa journalist yan ming from dorondo .	N/A	now listen to the report by voa reporter yan ming from toronto .	N/A	1	1	0-0 3-1 4-2 5-3 6-4 7-5 8-5 9-6 10-7 11-8 12-9 13-10 14-11 15-12		 
16:16	the prime minister mentioned that : " albania supports the military action that has taken place because it is the best guarantee of maintaining peace and justice .	N/A	the prime minister pointed out that " albania supported the military operation as the best means of achieving peace and justice .	N/A	1	1	0-0 1-1 2-2 3-3 3-4 4-5 6-6 7-7 8-8 9-9 10-10 11-11 19-13 20-14 21-15 22-16 23-17 24-18 25-19 26-20 27-21 16-12 17-12 18-12		 
17:17	israeli radio , which reported the news , stated that the pilot had been able to bale out from the aircraft before it crashed and he had been taken to receive medical treatment .	N/A	the israeli radio that broadcast the news , said that the pilot ejected before the jet crashed and was taken for treatment . "	N/A	1	1	0-1 1-2 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 16-12 17-12 18-12 19-12 20-12 21-13 23-16 24-17 28-19 29-20 30-20 32-21 33-22 0-0 3-3 22-14 22-15 26-18 27-18		 
18:18	all of the residents who were exposed to danger , numbered at 13800 people , have already been evacuated and sheltered .	N/A	all endangered inhabitants , numbering 13800 , have now been evacuated and given shelter .	N/A	1	1	0-0 2-2 3-2 5-1 6-1 7-1 8-1 9-3 10-4 11-5 12-5 13-5 14-6 15-7 17-9 18-10 19-11 20-12 20-13 21-14 16-8		 
19:19	in a short period of time , japan will distribute 15 billion us dollars for assistance in specific areas such as trade and finance .	N/A	within a short period , japan will appropriate 15 billion us dollars to assist trade , and financing etc .	N/A	1	1	0-0 1-1 2-2 3-3 4-3 5-3 6-4 7-5 8-6 9-7 10-8 11-9 12-10 13-11 14-12 15-13 16-13 21-14 22-16 23-17 24-19		 
20:20	he got a high fever when he was three . as a serious sequela , he suffers infantile paralysis ever since . he was admitted to the institute of children 's welfare on that year .	N/A	a victim of polio , a high fever crippled him when he was 3 years old . the same year he was adopted by an orphanage .	N/A	1	1	2-5 3-6 4-7 5-10 6-11 7-12 8-13 8-14 8-15 9-16 22-20 23-21 24-22 25-23 26-24 27-25 28-25 29-25 30-25 31-25 34-19 35-26 0-8 0-9 1-8 1-9 17-0 17-1 17-2 17-3 18-0 18-1 18-2 18-3 32-17 33-18		 
21:21	leotar made the statement when he spoke to a radio station reporter in paris .	N/A	leotard said this to a radio station reporter in paris .	N/A	1	1	0-0 1-1 2-1 3-1 7-3 8-4 9-5 10-6 11-7 12-8 13-9 14-10		 
22:22	" the shark " was displayed for the first time at the " prague 2 " international exhibition which is organized every two years , and it was held between may and september , 2005 .	N/A	" the shark " was first shown at the biennial " prague 2 " international exhibition which was held between may and september of 2005 .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-6 6-5 7-5 8-5 9-5 10-7 11-8 12-10 13-11 14-12 15-13 16-14 17-15 18-16 19-17 20-18 21-9 22-9 23-9 27-17 28-18 29-19 30-20 31-21 32-22 34-24 35-25 33-23		 
23:23	la nina refers to the sea surface temperature that is lower than normal in tropical pacific . this will cause weather effects that are opposite to el nino in different parts of the world .	N/A	la nina means the water temperature of the tropic pacific surface is much lower than usual , which affects exactly the opposite of el nino .	N/A	1	1	0-0 1-1 2-2 3-2 4-3 5-4 6-4 7-5 9-11 10-12 10-13 11-14 12-15 13-6 14-7 14-8 15-9 16-16 18-18 19-18 20-18 21-18 24-20 24-21 25-22 26-23 27-24 34-25 6-10 17-17		 
24:24	it was stated in the message : " we have no dispute with the afghan people . "	N/A	" we have no quarrel with the afghan people , " the letter said .	N/A	1	1	0-13 1-13 2-13 4-11 5-12 7-0 8-1 9-2 10-3 11-4 12-5 13-6 14-7 15-8 16-9 17-10 6-14		 
25:25	the winner received three gold medals from the local authorities of the tourism sector .	N/A	the winner received three gold medals from the local tourism officials .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-10 11-9 12-9 13-9 14-11		 
26:26	sha 'ath affirmed that , " israel created a crisis when it placed conditions " for the resumption of negotiations about the expansion of the palestinian self autonomy .	N/A	shaat asserted , " israel provoked a crisis when it set conditions " for resuming talks on extending the area of palestinian self-rule .	N/A	1	1	0-0 1-0 2-1 4-2 5-3 6-4 7-5 8-6 9-7 10-8 11-9 12-10 13-11 14-12 15-13 16-14 17-14 18-14 19-15 20-16 21-17 22-17 23-17 24-18 25-21 26-22 27-22 28-23		 
27:27	several million people throughout russia held an anti-president yeltsin demonstration on wednesday , demanding that the government pay wages that are in arrears .	N/A	millions of people across russia held demonstrations against president yeltsin , demanding the government to pay the delayed salaries .	N/A	1	1	0-0 0-1 1-0 1-1 2-2 3-3 4-4 5-5 8-9 9-6 12-10 13-11 15-12 16-13 17-15 18-18 20-17 21-17 22-17 23-19 7-7 7-8 17-14 19-16		 
28:28	it is suspected that four of those individuals are related to al qaeda .	N/A	four of them are suspected of having links with al-qaeda .	N/A	1	1	1-3 2-4 4-0 5-1 8-5 8-6 8-7 9-5 9-6 9-7 10-8 11-9 12-9 13-10 6-2 7-2		 
29:29	although the black box had been severely damaged looking from its outer appearance , qelada said that it remained in " good condition " .	N/A	although it appeared to be seriously damaged , qilada claimed it was " in good condition " .	N/A	1	1	0-0 5-4 6-5 7-6 13-7 14-8 15-9 17-10 19-13 20-12 21-14 22-15 23-16 24-17 1-1 2-1 3-1 4-3 8-2 9-2 10-2 11-2 12-2 18-11		 
30:30	roed larsen : the middle east : " barrel of gunpowder with a burning wick "	N/A	roed-larsen : middle east a " powder keg with lit fuse "	N/A	1	1	0-0 1-0 2-1 3-2 4-2 5-3 7-5 8-6 8-7 9-6 9-7 10-6 10-7 11-8 12-9 13-9 14-10 15-11		 
31:31	on the domestic level , erdogan can talk about the years of stability that turkey witnessed during the era of his party .	N/A	internally , erdogan can talk about the years of stability turkey spent under his party .	N/A	1	1	0-0 1-0 2-0 3-0 4-1 5-2 6-3 7-4 8-5 9-6 10-7 11-8 12-9 14-10 15-11 16-12 17-12 18-12 19-12 20-13 21-14 22-15		 
32:32	" the kind of behavior , like expelling united nations inspectors and reactivating the yongbyon nuclear facility , will only cause the international community to hold back their supports , " he said .	N/A	donald added , " to expel un supervisors and to restart ningbian nuclear facility would prevent the international community from providing aide . "	N/A	1	1	0-3 7-5 8-6 9-6 10-7 11-8 12-9 12-10 13-11 14-11 15-12 16-13 18-14 21-16 22-17 23-18 24-19 25-20 26-20 28-21 29-2 30-23 32-1 33-22 6-4 20-15 31-0		 
33:33	philippine president ramos participated the ceremony and awarded medals , bonus , and certificate of merit to six eminent personages who gloriously won the magsaysay prize this year .	N/A	president ramos attended the ceremony and awarded medals , monetary awards , and certificates to the six outstanding recipients .	N/A	1	1	1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 10-10 11-11 12-12 13-13 14-13 15-13 16-14 17-16 18-17 19-18 28-19		 
34:34	the suitor of the republic party in the house of representatives expected to summon about 15 people including lewinsky to court .	N/A	the republican prosecutors hope to ask lewinsky and another 15 people to testify in court .	N/A	1	1	0-0 1-2 4-1 5-1 11-3 12-4 13-5 15-9 16-10 17-7 18-6 19-11 20-12 20-13 20-14 21-15		 
35:35	at present , there is no information about the two men .	N/A	so far , their whereabouts are unknown .	N/A	1	1	0-0 0-1 1-0 1-1 2-2 3-6 4-5 5-6 6-4 11-7 8-3 9-3 10-3		 
36:36	this unusual practice from the canadian prime minister has in fact already indicated that canada has made some changes in its foreign policy .	N/A	this unusual act by a canadian premier implies some real changes in canada 's foreign policy .	N/A	1	1	0-0 1-1 2-2 3-3 5-5 6-6 7-6 12-7 14-12 17-8 18-10 19-11 21-14 22-15 23-16 4-4 20-13		 
37:37	he said that they would appeal to a higher court .	N/A	he said they will file an appeal .	N/A	1	1	0-0 1-1 3-2 4-3 5-4 5-5 5-6 6-4 6-5 6-6 7-4 7-5 7-6 8-4 8-5 8-6 9-4 9-5 9-6 10-7		 
38:38	also , the group presented an urgent program , the implementation of which the philippines armed forces could discuss during the proposed assumption of power .	N/A	the group also put forward an emergency program which the philippine army could look to implementing during the proposed takeover .	N/A	1	1	0-2 2-0 3-1 4-3 4-4 5-5 6-6 7-7 12-8 13-9 14-10 15-11 16-11 17-12 19-16 20-17 21-18 22-19 23-19 24-19 25-20 18-13 18-14 18-15		 
39:39	according to another ism report released on the 2nd of this month , the u.s. manufacturing index soared in december to the highest point in 20 years .	N/A	according to another report published by ism on the 2nd , u.s. manufacturing index surged in december to a 20-year high .	N/A	1	1	0-0 1-1 2-2 3-6 4-3 5-4 6-7 7-8 8-9 12-10 13-11 14-11 15-12 16-13 17-14 18-15 19-16 20-17 21-18 22-20 23-20 25-19 26-19 27-21 9-9 10-9 11-9		 
40:40	the pankisi gorge , situated within the territory of georgia , borders on chechnya in russia .	N/A	the pankisi gorge is located in georgia and adjacent to russia 's chechnya .	N/A	1	1	0-0 1-1 2-2 4-4 5-5 9-6 11-8 11-9 12-8 12-9 13-12 15-10 16-13 3-3 10-7 14-11		 
41:41	he added that china hopes that there will be a return to peace as soon as possible .	N/A	china hopes to see peace as fast as possible , the spokesman added .	N/A	1	1	1-12 3-0 4-1 12-4 13-5 14-6 15-7 16-8 17-13 0-10 0-11 6-2 6-3 7-2 7-3 8-2 8-3 9-2 9-3 10-2 10-3 11-2 11-3		 
42:42	this decision broke the dead end situation existing since almost a year ago in the negotiations between the alliance and palestinian liberation organization .	N/A	this decision broke the impasse that lasted nearly a year between the aiding countries and the palestinian self-rule authority .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-4 6-4 7-5 7-6 9-7 10-8 11-9 16-10 17-11 18-12 18-13 19-14 20-15 20-16 21-17 22-18 23-19		 
43:43	this has been the third day in a row in which the israeli military planes violated the lebanese airspace since the beginning of october .	N/A	this is the third day in a row that israeli warplanes violated lebanese airspace in october .	N/A	1	1	0-0 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-8 11-9 12-9 13-10 14-10 15-11 16-12 17-12 18-13 23-15 24-16 1-1 2-1 19-14 20-14 21-14 22-14		 
44:44	the message added : " we wish to work with all responsible afghan people to bring peace to the country and assist them along the path of stable development .	N/A	the letter added : " we want to work towards peace with all responsible afghans and to help them by way of stable development .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-11 10-12 11-13 12-14 13-14 14-9 14-10 15-9 15-10 16-9 16-10 20-15 21-16 21-17 22-18 23-19 24-20 25-20 26-21 27-22 28-23 29-24		 
45:45	as generally conjectured , the bureau will decide to reduce the interest rate once again , in order to retain the steady economy .	N/A	it is guessed that the federal reserve will lower the interest again to keep a stable economy .	N/A	1	1	0-0 0-1 0-2 0-3 1-0 1-1 1-2 1-3 2-0 2-1 2-2 2-3 3-0 3-1 3-2 3-3 4-4 5-5 5-6 6-7 9-8 10-9 11-10 12-10 13-11 14-11 16-12 17-12 18-12 19-13 20-14 21-15 22-16 23-17		 
46:46	it is now known that the problem will have negative effects on the health of the pregnant women and their children . however , what is the real reason is still unknown .	N/A	the problem is known to cause health complications for mother and child , but exactly why it happens is an enigma .	N/A	1	1	1-2 3-3 5-0 6-1 8-5 9-7 10-7 11-6 12-6 13-6 14-8 15-9 16-9 17-9 18-10 19-11 20-11 21-12 22-13 24-15 24-16 24-17 25-15 25-16 25-17 26-15 26-16 26-17 27-15 27-16 27-17 28-15 28-16 28-17 29-18 30-19 30-20 31-19 31-20 32-21 7-4		 
47:47	the same sources added that alquaddafi will meet the nobility and the poets of metrouhon on friday evening for a poetry night in which poets from rural areas will participate .	N/A	the sources added that khadafy will meet with matruh 's elite and poets during a poetic evening attended by desert poets .	N/A	1	1	0-0 1-1 2-1 3-2 4-3 5-4 6-5 7-6 7-7 10-11 11-12 12-12 13-12 14-12 18-13 19-14 20-15 21-16 24-20 25-19 26-19 27-19 29-17 29-18 30-21 8-8 8-9 8-10 9-8 9-9 9-10		 
48:48	in the past several years , construction of a passageway through guangxi to the ocean has experienced speeded up construction in the big southwest region of china .	N/A	in recent years , the southwest region in china had accelerated construction through the passage to the sea in guangxi .	N/A	1	1	0-0 1-1 2-1 3-1 4-2 5-3 8-13 9-14 10-18 11-19 12-15 13-16 14-17 15-9 16-10 17-10 18-10 19-11 21-4 23-5 24-6 25-7 26-8 27-20 7-12		 
49:49	thursday , canadian foreign minister axewacy said that canada was very much concerned about the situations in which chinese government had arrested people with different opinions .	N/A	on thursday , canadian foreign minister axworthy indicated that canada is greatly concerned over china 's arrest of dissidents .	N/A	1	1	0-0 0-1 1-2 2-3 3-4 4-5 5-6 6-7 7-8 8-9 9-10 10-11 11-11 12-12 13-13 18-14 19-14 21-16 22-18 23-18 24-18 25-18 26-19		 
50:50	xinhua news agency , beijing , february 16 . the central organization department recently printed and issued a suggestion regarding strengthening the supervision work for cadres .	N/A	xinhua news agency , beijing , feb . 16 the central organization department recently issued suggestions for strengthening supervision of cadres .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-8 8-7 9-9 10-10 11-11 12-12 13-13 14-14 15-14 16-14 17-15 18-15 19-16 20-17 21-18 22-18 23-18 24-19 25-20 26-21		 
51:51	the gaza international airport came into use the day before .	N/A	the airport began operations one day before .	N/A	1	1	0-0 3-1 4-2 4-3 5-2 5-3 6-2 6-3 8-5 9-6 10-7 1-1 2-1 7-4		 
52:52	the plan would also promote new rising trades and provide more employment opportunities as well .	N/A	and the plan could also provide new industries and more employment .	N/A	1	1	0-1 1-2 2-3 3-4 4-5 5-6 8-8 9-5 10-9 11-10 12-10 15-11 6-7 7-7		 
53:53	this could set " a precedent that could set back the increased freedom enjoyed by the press since the fall of former president suharto " , the alliance said .	N/A	they said that this would " set a precedent , and weaken the greater freedom of journalism after the former president suharto " .	N/A	1	1	0-3 1-4 2-6 3-5 4-7 5-8 8-11 9-11 10-12 11-13 12-14 14-15 15-16 16-16 17-17 18-18 21-19 22-20 23-21 24-22 28-1 29-23 6-9 26-0 27-0		 
54:54	here is the report from our bangkok correspondent .	N/A	liu zhenting reports from bangkok .	N/A	1	1	2-2 3-2 4-3 6-4 8-5		 
55:55	the united nations economic commission says that difficulty in the brazilian economy is reflected in some of the countries in the southern cone region .	N/A	the hard economic situation in brazil reflected in some countries of the south part of south america .	N/A	1	1	9-0 10-4 10-5 11-2 11-3 13-6 14-7 15-8 16-8 17-9 18-9 20-11 24-17 7-1 8-1 19-10 21-12 21-13 21-14 21-15 21-16 22-12 22-13 22-14 22-15 22-16 23-12 23-13 23-14 23-15 23-16		 
56:56	ginana expressed his thanks to the great deal of assistance china has provided to tanzania in the past .	N/A	kinana expressed thanks to the massive aids that china provided tanzania in the past .	N/A	1	1	1-1 3-2 4-3 5-4 6-5 7-5 8-5 9-6 10-8 12-9 14-10 15-11 16-12 17-13 18-14 0-0 11-9		 
57:57	the palestinian leader yaser arafat began his first official flight departing from gaza international airport .	N/A	palestinian leader arafat began his first official flight from gaza international airport .	N/A	1	1	0-0 1-0 2-1 3-2 4-2 5-3 6-4 7-5 8-6 9-7 10-8 11-8 12-9 13-10 14-11 15-12		 
58:58	al huroob heads the board of directors of al arab al yawm since it was established in 1997 .	N/A	alharoub has been chairman of " alarabu alyaoum " since its founding in 1997 .	N/A	1	1	0-0 1-0 3-3 4-3 5-3 6-3 7-4 8-6 9-6 10-7 11-7 12-9 13-10 14-11 15-11 16-12 17-13 18-14		 
59:59	however , the local council chief executive turnour said that this year 's flooding came upon the town all of a sudden .	N/A	however , chief of the local parliament tenor said that this year 's flood came suddenly .	N/A	1	1	0-0 1-1 2-4 3-5 5-2 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 18-15 19-15 20-15 21-15 22-16		 
60:60	yesterday , saturday , moratinos held discussions with al-shara .	N/A	moratinos held talks with al-shara saturday .	N/A	1	1	2-5 4-0 5-1 6-2 7-3 8-4 9-6		 
61:61	it is the first time in nine days that south korea has confirmed the discovery of the bird flu virus .	N/A	it was south korea 's first confirmed outbreak of bird flu in nine days .	N/A	1	1	0-0 2-5 3-5 4-5 5-11 6-12 7-13 9-2 10-3 12-6 15-8 16-9 17-9 18-10 19-10 20-14 1-1 11-4 13-7 14-7		 
62:62	they have most of their training indoor in china .	N/A	they have more indoor training at home .	N/A	1	1	0-0 1-1 5-4 6-3 9-7 2-2 3-2 7-5 7-6 8-5 8-6		 
63:63	he told the reporters , " according to the local immigration regulations , these immigrants do n't belong to a category you want to just throw away . "	N/A	he told reporters , " according to the immigration rules here , those immigrants are not the kind you want to abandon . "	N/A	1	1	0-0 1-1 2-2 3-2 4-3 5-4 6-5 7-6 8-7 10-8 11-9 12-11 13-12 14-13 15-14 15-15 16-14 16-15 17-14 17-15 18-14 18-15 19-16 20-17 21-18 22-19 23-20 25-21 26-21 27-22 28-23		 
64:64	this phenomenon harms the fair competition in the marketplace and consequently hinders china 's transition from the planned economy to the free market economy .	N/A	this phenomenon undermines fair market competition and hampers china 's transformation from a planned economy to a market one .	N/A	1	1	0-0 1-1 2-2 3-3 4-3 5-5 6-4 7-4 8-4 9-6 11-7 12-8 13-9 14-10 15-11 16-12 17-13 18-14 19-15 20-16 22-17 24-19		 
65:65	the price for the first open issuing will be determined on february 9 .	N/A	the offer price will be decided on february 9 .	N/A	1	1	0-0 1-2 7-3 8-4 9-5 10-6 11-7 12-8 13-9 3-1 4-1 5-1 6-1		 
66:66	for the sake of economic interests of the local immigrants and australia , the british immigrtants association appealed to the government to face this issue seriously .	N/A	to the benefit of immigrants and australia , the uk immigrants association appealed to the government to face the problem squarely .	N/A	1	1	0-0 1-1 2-2 3-3 7-4 8-4 9-4 10-5 11-6 12-7 13-8 14-9 15-10 16-11 17-12 18-13 19-14 20-15 21-16 22-17 23-18 24-19 25-20 26-21		 
67:67	shall we attempt to salvage the agreement , or shall we announce that the agreement has fatal flaws and should be discussed anew .	N/A	to try to save it or just announce that the agreement has fatal defects and should be discussed again .	N/A	1	1	2-1 3-2 4-3 8-5 11-7 12-8 13-9 14-10 15-11 16-12 17-13 18-14 19-15 20-16 21-17 22-18 23-19 5-4 6-4		 
68:68	many roadblocks have been set up in different areas and residents are carrying big wooden rods to drive away strangers .	N/A	in some places with barricades , residents expelled groups of strangers with big lumbers .	N/A	1	1	1-4 6-0 8-2 10-6 12-11 13-12 14-13 15-13 16-7 17-7 18-7 19-10 20-14 7-1		 
69:69	and the financial and investment companies will be administrated and controlled unitarily by ministry of finance .	N/A	besides , the ministry of finance will unitarily control financial and investing companies .	N/A	1	1	0-0 1-2 2-9 3-10 4-11 5-12 6-6 10-8 11-7 13-3 14-4 15-5 16-13		 
70:70	chinese enterprises have become one of the largest foreign investors in macao .	N/A	china enterprises become the biggest investor in macao .	N/A	1	1	0-0 1-1 2-2 3-2 6-3 7-4 9-5 10-6 11-7 12-8		 
71:71	" they said their going to iraq is in order to display an imitable example of democracy to us .	N/A	" they said they went to iraq to show us a sample of democracy .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 8-7 9-7 10-7 11-8 12-10 13-11 14-11 15-12 16-13 18-9 19-14		 
72:72	the un economic commission said , the economic hardship in brazil is reflected in some countries in the southern cone region .	N/A	the hard economic situation in brazil reflected in some countries of the south part of south america .	N/A	1	1	6-0 7-2 8-1 8-3 9-4 10-5 12-6 13-7 14-8 15-9 16-10 17-11 21-17 18-12 18-13 18-14 18-15 18-16 19-12 19-13 19-14 19-15 19-16 20-12 20-13 20-14 20-15 20-16		 
73:73	some of russian space agency 's launching missions used hydrazine as fuel for the initial few stages .	N/A	hydrazine is used to power the early stages of some russian launchers .	N/A	1	1	0-9 1-8 2-10 6-11 7-11 8-1 8-2 9-0 10-3 10-4 11-3 11-4 12-3 12-4 13-5 14-6 16-7 17-12		 
74:74	he said the government will study the opinions and heartfelt wishes expressed by the people and make improvement in order to meet the demands of the masses .	N/A	he said that the government would consider the opinions of the people , and meet the needs of the people .	N/A	1	1	0-0 1-1 1-2 2-3 3-4 4-5 5-6 6-7 7-8 8-8 9-8 10-8 13-10 14-11 15-13 21-14 22-15 23-16 24-17 25-18 26-19 27-20 11-9 12-9		 
75:75	this committee said in one of gunawan 's reports published in july issue , he quoted a speech made by a raped woman .	N/A	the committee said that gu wanna cited a raped woman 's talk in a report published in july .	N/A	1	1	0-0 1-1 2-2 3-12 4-13 5-13 6-4 6-5 7-10 8-14 9-15 10-16 11-17 12-17 15-6 16-11 17-11 20-7 21-8 22-9 22-10 23-18		 
76:76	three canadian astronauts had participated in space mission on board the columbia space shuttle during the 90s of the twentieth century .	N/A	three canadian astronauts travelled on the columbia in the 1990s for space flight missions .	N/A	1	1	0-0 1-1 2-2 3-3 4-3 6-11 6-12 7-13 8-4 9-4 10-5 11-6 12-6 13-6 14-7 15-8 16-9 17-9 18-9 19-9 20-9 21-14		 
77:77	russia 's policy on chechnya and its attitude toward its neighboring countries in the commonwealth of independent states have caused all the more concerns from the united states .	N/A	russia 's policies in chechnya and its attitudes towards neighboring commonwealth independent states caused more concerns in the us .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 10-9 11-10 12-10 13-10 14-10 16-11 17-12 19-13 22-14 23-15 24-16 25-17 26-18 27-18 28-19		 
78:78	the family members of fang fuming said he was badly treated .	N/A	fang fuming 's family said he was badly treated .	N/A	1	1	0-3 1-3 2-3 3-2 4-0 5-1 6-4 7-5 8-6 9-7 10-8 11-9		 
79:79	during the parliamentary election held on july 22 , the main opposition party , the republican people 's party , obtained 112 assembly seats .	N/A	in the parliamentary election held on july 22 , the main opposition republican people 's party took 112 seats .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-11 14-12 15-12 16-13 17-14 18-15 20-16 21-17 22-18 23-18 24-19		 
80:80	local government officials accused abu saiaf terrorist group of launching the mortar attack .	N/A	local government officials hold the abu sayyaf terrorist group responsible .	N/A	1	1	0-0 1-1 2-2 3-3 3-9 4-4 4-5 5-6 6-7 7-8 13-10		 
